frame,decision,left_status,right_status,detections
276,path clear,near,near,"microwave:0.85:751,342,960,464;oven:0.79:329,356,727,964;microwave:0.46:437,1,616,261;refrigerator:0.42:0,698,282,1452"
277,path clear,near,near,"microwave:0.82:746,338,963,461;oven:0.79:324,356,727,964"
278,path clear,near,near,"microwave:0.82:742,335,966,457;oven:0.72:345,359,726,965"
279,path clear,near,near,"microwave:0.74:740,332,965,456;oven:0.73:345,374,725,964"
280,path clear,near,near,"oven:0.75:352,353,723,963;microwave:0.74:739,327,965,454;refrigerator:0.44:0,696,275,1480"
281,path clear,near,near,"microwave:0.76:736,322,964,456;oven:0.74:360,359,723,965;refrigerator:0.44:0,696,274,1480"
282,path clear,near,near,"microwave:0.73:736,327,960,454;oven:0.68:346,374,722,966"
283,path clear,near,near,"microwave:0.79:733,324,956,455;oven:0.70:339,363,716,968"
284,path clear,near,near,"microwave:0.78:732,324,953,455;oven:0.70:338,369,716,968"
285,path clear,near,near,"microwave:0.82:729,321,953,455;oven:0.72:323,353,714,970;refrigerator:0.46:0,698,268,1506"
286,path clear,near,near,"microwave:0.80:727,329,950,455;oven:0.73:329,360,715,972"
287,path clear,near,near,"microwave:0.82:723,324,950,456;oven:0.73:323,365,712,974"
288,path clear,near,near,"microwave:0.79:730,329,945,456;oven:0.77:320,354,711,976"
289,path clear,near,near,"microwave:0.82:723,328,941,457;oven:0.78:305,351,709,979"
290,path clear,near,near,"microwave:0.85:719,322,943,457;oven:0.78:299,353,708,981"
291,path clear,near,near,"microwave:0.87:717,320,946,458;oven:0.78:297,351,702,983"
292,path clear,near,near,"microwave:0.85:713,317,942,458;oven:0.76:296,353,705,984"
293,path clear,near,near,"microwave:0.89:711,317,945,459;oven:0.74:290,355,698,985"
294,path clear,near,near,"microwave:0.91:709,319,942,457;oven:0.66:333,382,690,987"
295,path clear,near,near,"microwave:0.90:704,319,934,458;oven:0.70:328,404,690,989"
296,path clear,far,far,"microwave:0.85:702,322,929,457;oven:0.74:336,457,690,990"
297,path clear,near,near,"microwave:0.90:696,315,924,457;oven:0.71:239,338,685,992"
298,path clear,near,near,"microwave:0.89:692,313,919,455;oven:0.66:242,339,686,993"
299,path clear,near,near,"microwave:0.86:688,316,913,453;oven:0.76:222,331,684,994"
300,path clear,near,near,"microwave:0.81:685,321,908,452;oven:0.79:228,332,676,991"
301,path clear,near,near,"microwave:0.85:683,324,905,452;oven:0.80:220,332,672,998"
302,path clear,near,near,"microwave:0.84:683,324,902,452;oven:0.83:223,330,670,995"
303,path clear,near,near,"microwave:0.85:671,311,899,454;oven:0.75:229,338,665,997"
304,path clear,near,near,"microwave:0.81:668,309,896,454;oven:0.77:221,331,659,999"
305,"obstacle left, move right",very_near,near,"microwave:0.85:668,324,886,452;oven:0.78:224,335,650,999;refrigerator:0.48:2,731,203,1566"
306,"obstacle left, move right",very_near,near,"microwave:0.87:664,321,886,453;oven:0.73:241,343,643,1000;refrigerator:0.44:2,734,200,1570"
307,"obstacle left, move right",very_near,near,"microwave:0.86:663,319,885,451;oven:0.73:231,333,640,1001;refrigerator:0.55:2,733,194,1566"
308,"obstacle left, move right",very_near,near,"microwave:0.80:658,318,882,452;oven:0.71:252,373,647,1003;refrigerator:0.50:2,735,187,1571;refrigerator:0.42:873,2,1079,842"
309,"obstacle left, move right",very_near,near,"microwave:0.84:651,317,878,451;oven:0.67:241,371,646,1004;refrigerator:0.49:2,733,184,1592"
310,"obstacle left, move right",very_near,far,"microwave:0.81:646,309,879,451;oven:0.75:184,332,646,1002;refrigerator:0.45:2,740,177,1577"
311,path clear,near,far,"microwave:0.77:643,317,873,447;oven:0.73:179,337,635,1009"
312,path clear,near,far,"microwave:0.82:641,317,872,448;oven:0.81:153,323,635,1007"
313,"obstacle left, move right",very_near,far,"microwave:0.82:642,316,866,447;oven:0.72:149,322,630,1011;refrigerator:0.45:2,743,165,1604"
314,"obstacle left, move right",very_near,far,"microwave:0.83:639,316,860,444;oven:0.72:174,342,624,1014;refrigerator:0.54:2,747,162,1613"
315,"obstacle left, move right",very_near,far,"microwave:0.77:641,316,856,443;oven:0.71:210,373,625,1014;refrigerator:0.52:1,747,156,1613"
316,"obstacle left, move right",very_near,far,"microwave:0.80:623,314,854,447;oven:0.70:206,373,618,1016;sink:0.54:2,560,301,689;refrigerator:0.48:1,745,152,1608"
317,path clear,near,near,"microwave:0.85:620,306,853,446;oven:0.70:143,334,614,1017;sink:0.56:2,566,299,689;refrigerator:0.46:852,1,1080,855"
318,path clear,near,far,"microwave:0.85:620,311,850,447;oven:0.73:129,327,609,1020;sink:0.56:2,570,293,692"
319,path clear,near,far,"microwave:0.87:616,312,846,448;oven:0.79:119,318,604,1021;sink:0.64:0,567,291,693"
320,path clear,near,far,"microwave:0.84:610,312,847,448;oven:0.79:109,316,595,1026;sink:0.47:1,574,279,692"
321,path clear,near,far,"microwave:0.86:599,306,849,452;oven:0.82:99,322,594,1029;sink:0.65:1,574,275,695"
322,path clear,near,far,"microwave:0.89:593,314,828,453;oven:0.82:99,321,590,1030;sink:0.53:0,579,269,697"
323,path clear,near,far,"microwave:0.86:596,321,829,454;oven:0.73:117,360,580,1042;sink:0.58:1,581,264,707"
324,path clear,near,far,"microwave:0.89:591,325,816,456;oven:0.66:153,362,578,1046;sink:0.46:1,587,256,710"
325,path clear,near,far,"microwave:0.87:588,323,815,459;oven:0.70:143,364,576,1050"
